Sample_Index	Signal_[mV]
1078	-3865.49
1079	-3864.73
1080	-3868.54
1081	-3888.38
1082	-3868.54
1083	-3872.36
1084	-3886.09
1085	-3869.31
1086	-3876.17
1087	-3883.04
1088	-3872.36
1089	-3870.07
1090	-3867.78
1091	-3883.04
1092	-3892.96
1093	-3904.4
1094	-3905.16
1095	-3902.11
1096	-3864.73
1097	-3831.16
1098	-3843.37
1099	-3863.97
1100	-3861.68
1101	-3872.36
1102	-3892.96
1103	-3881.51
1104	-3880.75
1105	-3880.75
1106	-3873.12
1107	-3877.7
1108	-3880.75
1109	-3879.22
1110	-3896.01
1111	-3915.08
1112	-3901.35
1113	-3884.57
1114	-3865.49
1115	-3854.81
1116	-3862.44
1117	-3876.94
1118	-3878.46
1119	-3879.99
1120	-3877.7
1121	-3861.68
1122	-3861.68
1123	-3855.57
1124	-3848.71
1125	-3871.6
1126	-3883.04
1127	-3867.02
1128	-3854.81
1129	-3867.78
1130	-3880.75
1131	-3883.8
1132	-3896.01
1133	-3916.61
1134	-3908.98
1135	-3901.35
1136	-3908.22
1137	-3937.21
1138	-3927.29
1139	-3893.72
1140	-3879.99
1141	-3880.75
1142	-3883.04
1143	-3868.54
1144	-3869.31
1145	-3881.51
1146	-3890.67
1147	-3886.09
1148	-3857.1
1149	-3863.2
1150	-3863.97
1151	-3867.78
1152	-3871.6
1153	-3862.44
1154	-3856.34
1155	-3859.39
1156	-3864.73
1157	-3871.6
1158	-3891.43
1159	-3895.25
1160	-3873.88
1161	-3862.44
1162	-3859.39
1163	-3866.25
1164	-3878.46
1165	-3896.77
1166	-3899.82
1167	-3851.76
1168	-3814.38
1169	-3841.08
1170	-3857.1
1171	-3856.34
1172	-3864.73
1173	-3878.46
1174	-3874.65
1175	-3877.7
1176	-3881.51
1177	-3895.25
1178	-3904.4
1179	-3887.62
1180	-3884.57
1181	-3883.04
1182	-3874.65
1183	-3865.49
1184	-3869.31
1185	-3858.63
1186	-3863.2
1187	-3876.17
1188	-3887.62
1189	-3894.48
1190	-3889.14
1191	-3886.85
1192	-3899.82
1193	-3900.59
1194	-3894.48
1195	-3866.25
1196	-3845.66
1197	-3861.68
1198	-3880.75
1199	-3905.16
1200	-3913.56
1201	-3900.59
1202	-3892.19
1203	-3883.04
1204	-3876.17
1205	-3886.09
1206	-3896.77
1207	-3894.48
1208	-3881.51
1209	-3890.67
1210	-3897.54
1211	-3889.14
1212	-3883.04
1213	-3878.46
1214	-3895.25
1215	-3907.45
1216	-3896.77
1217	-3881.51
1218	-3871.6
1219	-3858.63
1220	-3844.13
1221	-3863.2
1222	-3876.94
1223	-3877.7
1224	-3889.14
1225	-3879.99
1226	-3867.02
1227	-3857.86
1228	-3873.12
1229	-3892.19
1230	-3870.83
1231	-3852.52
1232	-3853.28
1233	-3841.84
1234	-3843.37
1235	-3850.23
1236	-3857.86
1237	-3858.63
1238	-3832.69
1239	-3833.45
1240	-3855.57
1241	-3875.41
1242	-3860.15
1243	-3841.08
1244	-3828.11
1245	-3833.45
1246	-3846.42
1247	-3849.47
1248	-3851.76
1249	-3863.2
1250	-3873.88
1251	-3878.46
1252	-3859.39
1253	-3838.79
1254	-3834.21
1255	-3848.71
1256	-3868.54
1257	-3861.68
1258	-3864.73
1259	-3852.52
1260	-3836.5
1261	-3834.97
1262	-3838.79
1263	-3834.97
1264	-3836.5
1265	-3830.4
1266	-3826.58
1267	-3829.63
1268	-3828.87
1269	-3825.82
1270	-3827.34
1271	-3837.26
1272	-3853.28
1273	-3832.69
1274	-3831.16
1275	-3837.26
1276	-3834.21
1277	-3828.87
1278	-3815.14
1279	-3813.61
1280	-3831.16
1281	-3836.5
1282	-3827.34
1283	-3827.34
1284	-3818.19
1285	-3805.98
1286	-3825.06
1287	-3823.53
1288	-3826.58
1289	-3828.87
1290	-3822
1291	-3819.72
1292	-3828.87
1293	-3832.69
1294	-3825.82
1295	-3815.9
1296	-3848.71
1297	-3884.57
1298	-3890.67
1299	-3888.38
1300	-3872.36
1301	-3836.5
1302	-3798.35
1303	-3785.38
1304	-3799.88
1305	-3817.43
1306	-3820.48
1307	-3821.24
1308	-3828.87
1309	-3843.37
1310	-3842.6
1311	-3837.26
1312	-3828.87
1313	-3851
1314	-3886.85
1315	-3889.91
1316	-3867.78
1317	-3858.63
1318	-3867.02
1319	-3865.49
1320	-3867.02
1321	-3860.91
1322	-3863.2
1323	-3878.46
1324	-3896.77
1325	-3904.4
1326	-3919.66
1327	-3941.02
1328	-3935.68
1329	-3900.59
1330	-3858.63
1331	-3849.47
1332	-3851
1333	-3869.31
1334	-3879.99
1335	-3876.17
1336	-3869.31
1337	-3860.91
1338	-3849.47
1339	-3829.63
1340	-3848.71
1341	-3869.31
1342	-3879.22
1343	-3875.41
1344	-3859.39
1345	-3861.68
1346	-3867.78
1347	-3868.54
1348	-3862.44
1349	-3870.07
1350	-3861.68
1351	-3833.45
1352	-3849.47
1353	-3859.39
1354	-3870.07
1355	-3880.75
1356	-3886.09
1357	-3876.17
1358	-3854.05
1359	-3855.57
1360	-3873.88
1361	-3893.72
1362	-3907.45
1363	-3915.08
1364	-3919.66
1365	-3928.05
1366	-3935.68
1367	-3923.48
1368	-3904.4
1369	-3878.46
1370	-3863.2
1371	-3854.81
1372	-3839.55
1373	-3828.11
1374	-3841.84
1375	-3857.1
1376	-3874.65
1377	-3871.6
1378	-3870.83
1379	-3870.83
1380	-3869.31
1381	-3867.02
1382	-3862.44
1383	-3854.81
1384	-3847.94
1385	-3838.79
1386	-3841.08
1387	-3852.52
1388	-3876.94
1389	-3895.25
1390	-3879.22
1391	-3838.79
1392	-3851
1393	-3881.51
1394	-3893.72
1395	-3873.12
1396	-3824.29
1397	-3821.24
1398	-3829.63
1399	-3835.74
1400	-3832.69
1401	-3811.32
1402	-3773.17
1403	-3742.66
1404	-3715.95
1405	-3688.49
1406	-3665.6
1407	-3649.58
1408	-3617.53
1409	-3563.36
1410	-3509.19
1411	-3471.05
1412	-3450.45
1413	-3457.31
1414	-3465.71
1415	-3437.48
1416	-3409.25
1418	-3411.54
1419	-3415.35
1420	-3413.06
1421	-3410.77
1422	-3422.98
1423	-3429.85
1424	-3435.95
1425	-3447.4
1426	-3487.07
1427	-3535.9
1428	-3584.73
1429	-3639.66
1430	-3697.64
1431	-3746.47
1432	-3786.14
1433	-3822
1434	-3854.05
1435	-3857.86
1436	-3870.07
1437	-3905.93
1438	-3935.68
1439	-3974.59
1440	-4028.76
1441	-4060.81
1442	-4089.04
1443	-4106.58
1444	-4116.5
1445	-4129.47
1446	-4126.42
1447	-4106.58
1448	-4085.99
1449	-4069.96
1450	-4059.28
1451	-4034.87
1452	-4011.98
1453	-3988.33
1454	-3966.2
1455	-3959.34
1456	-3960.86
1457	-3970.02
1458	-3966.96
1459	-3937.21
1460	-3919.66
1461	-3902.88
1462	-3906.69
1463	-3892.19
1464	-3892.19
1465	-3912.79
1466	-3903.64
1467	-3883.8
1468	-3857.86
1469	-3834.97
1470	-3841.84
1471	-3852.52
1472	-3853.28
1473	-3841.84
1474	-3842.6
1475	-3836.5
1476	-3847.18
1477	-3862.44
1478	-3869.31
1479	-3854.05
1480	-3843.37
1481	-3838.03
1482	-3825.06
1483	-3838.03
1484	-3849.47
1485	-3861.68
1486	-3847.18
1487	-3810.56
1488	-3786.91
1489	-3802.17
1490	-3835.74
1491	-3861.68
1492	-3860.91
1493	-3837.26
1494	-3818.19
1495	-3801.4
1496	-3812.85
1497	-3820.48
1498	-3792.25
1499	-3790.72
1500	-3809.03
1501	-3812.08
1502	-3815.14
1503	-3808.27
1504	-3804.45
1505	-3820.48
1506	-3815.9
1507	-3796.06
1508	-3786.91
1509	-3792.25
1510	-3796.83
1511	-3802.93
1512	-3809.8
1513	-3801.4
1514	-3788.43
1515	-3799.11
1516	-3800.64
1517	-3796.83
1518	-3793.01
1519	-3796.06
1520	-3789.96
1521	-3797.59
1522	-3803.69
1523	-3803.69
1524	-3767.83
1525	-3752.57
1526	-3762.49
1527	-3765.54
1528	-3751.81
1529	-3755.63
1530	-3773.17
1531	-3789.2
1532	-3791.48
1533	-3791.48
1534	-3785.38
1535	-3767.83
1536	-3760.2
1537	-3760.97
1538	-3769.36
1539	-3788.43
1540	-3793.01
1541	-3777.75
1542	-3763.26
1543	-3767.07
1544	-3758.68
1545	-3754.86
1546	-3780.8
1547	-3806.74
1548	-3799.11
1549	-3776.99
1550	-3768.6
1551	-3755.63
1552	-3739.6
1553	-3743.42
1554	-3748.76
1555	-3715.19
1556	-3699.17
1557	-3729.69
1558	-3749.52
1559	-3748.76
1560	-3744.95
1561	-3747.23
1562	-3741.89
1563	-3731.21
1564	-3728.16
1565	-3731.21
1566	-3737.32
1567	-3735.03
1568	-3716.72
1569	-3702.22
1570	-3706.8
1571	-3712.14
1572	-3711.38
1573	-3714.43
1574	-3702.22
1575	-3693.07
1576	-3702.22
1577	-3708.32
1578	-3701.46
1579	-3695.35
1580	-3693.83
1581	-3694.59
1582	-3699.93
1583	-3714.43
1584	-3709.09
1585	-3683.15
1586	-3661.02
1587	-3652.63
1588	-3641.18
1589	-3633.55
1590	-3638.9
1591	-3660.26
1592	-3661.78
1593	-3641.18
1594	-3625.16
1595	-3616.01
1596	-3612.19
1597	-3604.56
1598	-3608.38
1599	-3612.19
1600	-3613.72
1601	-3616.01
1602	-3606.09
1603	-3604.56
1604	-3596.17
1605	-3590.07
1606	-3569.47
1607	-3564.89
1608	-3583.96
1609	-3583.2
1610	-3563.36
1611	-3547.34
1612	-3541.24
1613	-3538.19
1614	-3538.19
1615	-3563.36
1616	-3565.65
1617	-3550.39
1618	-3514.53
1619	-3487.07
1620	-3495.46
1621	-3519.11
1622	-3514.53
1623	-3500.04
1624	-3500.04
1625	-3504.62
1626	-3519.87
1627	-3520.64
1628	-3513.01
1629	-3498.51
1630	-3494.7
1631	-3513.77
1632	-3512.25
1633	-3484.02
1634	-3471.05
1635	-3469.52
1636	-3470.28
1637	-3471.05
1638	-3475.62
1639	-3483.25
1640	-3486.31
1641	-3484.02
1642	-3472.57
1643	-3486.31
1644	-3503.09
1645	-3499.28
1646	-3503.09
1647	-3512.25
1648	-3519.11
1649	-3517.59
1650	-3513.77
1651	-3514.53
1652	-3513.77
1653	-3490.12
1654	-3482.49
1655	-3485.54
1656	-3520.64
1657	-3554.97
1658	-3552.68
1659	-3547.34
1660	-3551.92
1661	-3570.23
1662	-3583.96
